account_value,datadate,daily_return,Date
1407586.4977418282,20171229,-0.001933120938804267,2017-12-29
1422639.721908785,20180102,0.010694351069086228,2018-01-02
1422639.721908785,20180103,0.0,2018-01-03
1433723.9780129576,20180104,0.007791330393404738,2018-01-04
1439458.9573052076,20180105,0.00400005815638127,2018-01-05
1438019.530963515,20180108,-0.000999977341755831,2018-01-08
1438019.530963515,20180109,0.0,2018-01-09
1438019.530963515,20180110,0.0,2018-01-10
1438019.530963515,20180111,0.0,2018-01-11
1438019.530963515,20180112,0.0,2018-01-12
1438019.530963515,20180116,0.0,2018-01-16
1438019.530963515,20180117,0.0,2018-01-17
1438019.530963515,20180118,0.0,2018-01-18
1438019.530963515,20180119,0.0,2018-01-19
1438019.530963515,20180122,0.0,2018-01-22
1438019.530963515,20180123,0.0,2018-01-23
1438019.530963515,20180124,0.0,2018-01-24
1438019.530963515,20180125,0.0,2018-01-25
1438019.530963515,20180126,0.0,2018-01-26
1438019.530963515,20180129,0.0,2018-01-29
1438019.530963515,20180130,0.0,2018-01-30
1438019.530963515,20180131,0.0,2018-01-31
1438019.530963515,20180201,0.0,2018-02-01
1438019.530963515,20180202,0.0,2018-02-02
1438019.530963515,20180205,0.0,2018-02-05
1438019.530963515,20180206,0.0,2018-02-06
1438019.530963515,20180207,0.0,2018-02-07
1438019.530963515,20180208,0.0,2018-02-08
1438019.530963515,20180209,0.0,2018-02-09
1438019.530963515,20180212,0.0,2018-02-12
1438019.530963515,20180213,0.0,2018-02-13
1438019.530963515,20180214,0.0,2018-02-14
1438019.530963515,20180215,0.0,2018-02-15
1438019.530963515,20180216,0.0,2018-02-16
1438019.530963515,20180220,0.0,2018-02-20
1438019.530963515,20180221,0.0,2018-02-21
1438019.530963515,20180222,0.0,2018-02-22
1438019.530963515,20180223,0.0,2018-02-23
1438019.530963515,20180226,0.0,2018-02-26
1438019.530963515,20180227,0.0,2018-02-27
1438019.530963515,20180228,0.0,2018-02-28
1438019.530963515,20180301,0.0,2018-03-01
1438019.530963515,20180302,0.0,2018-03-02
1438019.530963515,20180305,0.0,2018-03-05
1438019.530963515,20180306,0.0,2018-03-06
1438019.530963515,20180307,0.0,2018-03-07
1438019.530963515,20180308,0.0,2018-03-08
1438019.530963515,20180309,0.0,2018-03-09
1438019.530963515,20180312,0.0,2018-03-12
1438019.530963515,20180313,0.0,2018-03-13
1438019.530963515,20180314,0.0,2018-03-14
1438019.530963515,20180315,0.0,2018-03-15
1438019.530963515,20180316,0.0,2018-03-16
1435133.069224633,20180319,-0.002007247938383583,2018-03-19
1437235.3058619925,20180320,0.0014648374303682932,2018-03-20
1438225.959290077,20180321,0.0006892771309221501,2018-03-21
1411805.764486829,20180322,-0.0183699888272697,2018-03-22
1393047.3577857541,20180323,-0.013286818323690053,2018-03-23
1426921.230827691,20180326,0.02431638296617522,2018-03-26
1402086.6689035206,20180327,-0.017404297719899375,2018-03-27
